epoch,kl_loss,loss,reconstruction_loss
50,42.926334381103516,90366.671875,90323.7421875
51,44.01090621948242,93573.9140625,93529.90625
52,42.159629821777344,91838.4921875,91796.3359375
53,46.76848602294922,87527.34375,87480.578125
54,42.71689224243164,88316.5625,88273.84375
55,45.220367431640625,87432.0625,87386.84375
56,40.66263198852539,85146.6484375,85105.984375
57,43.738792419433594,90378.921875,90335.1796875
58,42.90898132324219,88308.9296875,88266.0234375
59,43.70097351074219,88420.390625,88376.6875
60,45.02690505981445,86415.9921875,86370.96875
61,41.702632904052734,87119.375,87077.671875
62,42.58663558959961,88021.15625,87978.5703125
63,38.5125846862793,85860.53125,85822.015625
64,34.98175811767578,89154.3515625,89119.3671875
65,34.99195098876953,87051.078125,87016.0859375
66,39.875247955322266,91006.8046875,90966.9296875
67,38.8433723449707,88023.2421875,87984.3984375
68,40.43901062011719,85605.25,85564.8125
69,35.04623031616211,84223.8046875,84188.7578125
70,39.30127716064453,83905.4609375,83866.15625
71,36.70929718017578,90494.828125,90458.1171875
72,38.18968200683594,87147.390625,87109.203125
73,40.768856048583984,90126.734375,90085.96875
74,37.702972412109375,85669.2890625,85631.5859375
75,37.56395721435547,90137.1796875,90099.6171875
76,35.63118362426758,84576.6015625,84540.96875
77,35.771114349365234,87936.109375,87900.3359375
78,41.04692459106445,86016.9765625,85975.9296875
79,36.899105072021484,87883.515625,87846.6171875
80,34.83271789550781,82446.21875,82411.3828125
81,36.664493560791016,89087.65625,89050.9921875
82,35.987091064453125,85554.8828125,85518.8984375
83,36.34177017211914,86180.671875,86144.328125
84,30.98895263671875,82004.4296875,81973.4375
85,33.8037109375,88631.859375,88598.0546875
86,34.87348556518555,86907.625,86872.75
87,33.769561767578125,85225.4140625,85191.640625
88,36.67204666137695,87469.03125,87432.359375
89,33.83991622924805,83642.0078125,83608.1640625
90,34.66242218017578,87914.515625,87879.8515625
91,37.7224235534668,91927.6875,91889.96875
92,32.94516372680664,85966.1015625,85933.15625
93,33.4908332824707,84213.1484375,84179.65625
94,35.342369079589844,87563.375,87528.03125
95,34.016014099121094,88015.09375,87981.078125
96,36.376644134521484,91451.6953125,91415.3203125
97,35.423316955566406,86581.3046875,86545.8828125
98,34.304107666015625,89337.0,89302.6953125
99,35.4787483215332,90312.6171875,90277.140625
100,35.510459899902344,85816.1171875,85780.609375
101,31.505395889282227,87657.4375,87625.9296875
102,36.923439025878906,87437.90625,87400.984375
103,36.314327239990234,87056.53125,87020.21875
104,34.616092681884766,87903.71875,87869.1015625
105,34.568782806396484,87260.4609375,87225.890625
106,36.02829360961914,84808.4375,84772.40625
107,32.61602783203125,86041.703125,86009.0859375
108,34.224910736083984,89109.5234375,89075.296875
109,35.246337890625,89385.140625,89349.890625
110,33.407676696777344,86916.1484375,86882.7421875
111,38.31355285644531,88368.71875,88330.40625
112,30.174970626831055,84261.7890625,84231.6171875
113,35.28572082519531,86002.515625,85967.2265625
114,33.722171783447266,86040.1484375,86006.4296875
115,29.792634963989258,85002.4453125,84972.65625
116,32.93461227416992,86765.640625,86732.703125
117,32.73007583618164,86640.7578125,86608.03125
118,27.735580444335938,84721.078125,84693.34375
119,33.65934753417969,86740.328125,86706.671875
120,29.25387954711914,82620.8203125,82591.5703125
121,30.51561164855957,84924.6796875,84894.1640625
122,33.981075286865234,86556.078125,86522.09375
123,33.76649475097656,85223.0703125,85189.3046875
124,33.06944274902344,81974.765625,81941.6953125
125,35.18625259399414,83788.3046875,83753.1171875
126,34.29916000366211,85783.625,85749.328125
127,29.234935760498047,85219.828125,85190.59375
128,30.047061920166016,81735.6328125,81705.5859375
129,33.32261657714844,89072.390625,89039.0703125
130,34.75800704956055,86088.9765625,86054.21875
131,32.149253845214844,85958.4296875,85926.28125
132,32.700477600097656,86628.125,86595.421875
133,32.48440170288086,89272.171875,89239.6875
134,33.659912109375,85184.1484375,85150.4921875
135,30.83223533630371,86926.859375,86896.0234375
136,29.74688148498535,86132.296875,86102.546875
137,28.980257034301758,89494.6484375,89465.671875
138,32.069522857666016,88403.2734375,88371.203125
